iter	Passed	Remaining
657	2608	1355
658	2612	1351
659	2616	1347
660	2619	1343
661	2623	1339
662	2627	1335
663	2630	1331
664	2634	1327
665	2638	1323
666	2641	1318
667	2645	1314
668	2650	1311
669	2653	1307
670	2657	1302
671	2660	1298
672	2664	1294
673	2668	1290
674	2672	1286
675	2676	1282
676	2681	1279
677	2684	1275
678	2688	1271
679	2692	1266
680	2696	1263
681	2700	1259
682	2704	1255
683	2708	1251
684	2713	1247
685	2716	1243
686	2720	1239
687	2724	1235
688	2729	1231
689	2732	1227
690	2736	1223
691	2739	1219
692	2743	1215
693	2747	1211
694	2751	1207
695	2754	1203
696	2758	1199
697	2763	1195
698	2766	1191
699	2770	1187
700	2773	1183
701	2778	1179
702	2782	1175
703	2786	1171
704	2789	1167
705	2794	1163
706	2798	1159
707	2801	1155
708	2805	1151
709	2810	1147
710	2813	1143
711	2817	1139
712	2820	1135
713	2825	1131
714	2828	1127
715	2832	1123
716	2835	1119
717	2839	1115
718	2843	1111
719	2847	1107
720	2850	1103
721	2854	1098
722	2858	1095
723	2861	1090
724	2865	1086
725	2869	1082
726	2873	1079
727	2876	1074
728	2880	1070
729	2883	1066
730	2887	1062
731	2891	1058
732	2895	1054
733	2898	1050
734	2902	1046
735	2907	1042
736	2910	1038
737	2914	1034
738	2917	1030
739	2921	1026
740	2925	1022
741	2929	1018
742	2933	1014
743	2937	1010
744	2941	1006
745	2944	1002
746	2948	998
747	2952	994
748	2956	990
749	2959	986
750	2963	982
751	2966	978
752	2971	974
753	2975	970
754	2979	966
755	2983	962
756	2987	958
757	2991	955
758	2995	951
759	2999	947
760	3003	943
761	3007	939
762	3010	935
763	3014	931
764	3018	927
765	3022	923
766	3026	919
767	3029	915
768	3033	911
769	3037	907
770	3041	903
771	3044	899
772	3049	895
773	3053	891
774	3056	887
775	3060	883
776	3063	879
777	3068	875
778	3071	871
779	3075	867
780	3079	863
781	3083	859
782	3087	855
783	3090	851
784	3094	847
785	3098	843
786	3102	839
787	3105	835
788	3109	831
789	3113	827
790	3117	823
791	3120	819
792	3124	815
793	3128	811
794	3132	807
795	3135	803
796	3139	799
797	3142	795
798	3147	791
799	3151	787
800	3154	783
801	3158	779
802	3162	775
803	3166	771
804	3170	768
805	3174	763
806	3178	760
807	3181	756
808	3185	752
809	3189	748
810	3193	744
811	3197	740
812	3200	736
813	3204	732
814	3207	728
815	3211	724
816	3215	720
817	3219	716
818	3222	712
819	3227	708
820	3230	704
821	3234	700
822	3237	696
823	3242	692
824	3245	688
825	3249	684
826	3253	680
827	3258	676
828	3262	672
829	3266	669
830	3269	664
831	3273	661
832	3278	657
833	3281	653
834	3285	649
835	3289	645
836	3293	641
837	3297	637
838	3300	633
839	3304	629
840	3308	625
841	3312	621
842	3315	617
843	3319	613
844	3324	609
845	3328	605
846	3331	601
847	3335	597
848	3339	593
849	3343	589
850	3346	585
851	3350	582
852	3355	578
853	3358	574
854	3362	570
855	3365	566
856	3370	562
857	3374	558
858	3378	554
859	3381	550
860	3386	546
861	3390	542
862	3393	538
863	3397	534
864	3401	530
865	3405	526
866	3408	522
867	3412	518
868	3416	515
869	3420	511
870	3423	507
871	3427	503
872	3431	499
873	3435	495
874	3438	491
875	3442	487
876	3445	483
877	3449	479
878	3453	475
879	3457	471
880	3461	467
881	3465	463
882	3469	459
883	3472	455
884	3476	451
885	3480	447
886	3484	443
887	3488	439
888	3491	435
889	3495	432
890	3499	428
891	3503	424
892	3507	420
893	3510	416
894	3515	412
895	3518	408
896	3522	404
897	3525	400
898	3529	396
899	3532	392
900	3536	388
901	3540	384
902	3543	380
903	3547	376
904	3551	372
905	3554	368
906	3558	364
907	3562	360
908	3566	357
909	3569	353
910	3573	349
911	3576	345
912	3581	341
913	3584	337
914	3588	333
915	3592	329
916	3596	325
917	3600	321
918	3604	317
919	3607	313
920	3612	309
921	3615	305
922	3619	301
923	3622	297
924	3627	294
925	3630	290
926	3633	286
927	3637	282
928	3641	278
929	3645	274
930	3648	270
931	3652	266
932	3655	262
933	3659	258
934	3663	254
935	3666	250
936	3670	246
937	3674	242
938	3678	238
939	3681	235
940	3685	231
941	3690	227
942	3694	223
943	3697	219
944	3701	215
945	3708	211
946	3712	207
947	3715	203
948	3719	199
949	3723	195
950	3727	192
951	3731	188
952	3734	184
953	3739	180
954	3743	176
955	3746	172
956	3750	168
957	3755	164
958	3759	160
959	3763	156
960	3766	152
961	3771	148
962	3774	145
963	3778	141
964	3782	137
965	3786	133
966	3790	129
967	3794	125
968	3797	121
969	3801	117
970	3805	113
971	3808	109
972	3812	105
973	3815	101
974	3819	97
975	3823	94
976	3827	90
977	3830	86
978	3834	82
979	3838	78
980	3842	74
981	3845	70
982	3850	66
983	3853	62
984	3857	58
985	3860	54
986	3864	50
987	3868	46
988	3871	43
989	3875	39
990	3878	35
991	3883	31
992	3887	27
993	3891	23
994	3895	19
995	3899	15
996	3902	11
997	3906	7
998	3909	3
999	3914	0
